,sample-id,SMILES
0,HMDB0000001,Cn1cnc(C[C@H](N)C(=O)O)c1
1,HMDB0000002,NCCCN
2,HMDB0000005,CCC(=O)C(=O)O
3,HMDB0000010,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
4,HMDB0000011,C[C@@H](O)CC(=O)O
5,HMDB0000012,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
6,HMDB0000014,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
7,HMDB0000016,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
8,HMDB0000017,Cc1ncc(CO)c(C(=O)O)c1O
9,HMDB0000019,CC(C)C(=O)C(=O)O
10,HMDB0000020,O=C(O)Cc1ccc(O)cc1
11,HMDB0000021,N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O
12,HMDB0000022,COc1cc(CCN)ccc1O
13,HMDB0000023,C[C@@H](CO)C(=O)O
14,HMDB0000026,NC(=O)NCCC(=O)O
15,HMDB0000030,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
16,HMDB0000032,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
17,HMDB0000033,NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O
18,HMDB0000034,Nc1ncnc2nc[nH]c12
19,HMDB0247294,CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1
20,HMDB0000039,CCCC(=O)O
21,HMDB0000042,CC(=O)O
22,HMDB0000045,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
23,HMDB0000050,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
24,HMDB0000052,N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O
25,HMDB0000053,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
26,HMDB0000054,C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O
27,HMDB0000055,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
28,HMDB0000056,NCCC(=O)O
29,HMDB0000058,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O
30,HMDB0000060,CC(=O)CC(=O)O
31,HMDB0000061,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
32,HMDB0000064,CN(CC(=O)O)C(=N)N
33,HMDB0000068,CNC[C@H](O)c1ccc(O)c(O)c1
34,HMDB0000070,O=C(O)C1CCCCN1
35,HMDB0000071,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
36,HMDB0000072,O=C(O)/C=C(/CC(=O)O)C(=O)O
37,HMDB0000073,NCCc1ccc(O)c(O)c1
38,HMDB0000076,O=C1CCNC(=O)N1
39,HMDB0304210,CC1CNC(=O)NC1=O
