            F2ppm           F1ppm       Intensity 
     1        5.4018          127.1480     37732422.88
     2        3.0153           76.3652     12355367.25
     3        2.5805           38.3462      4900052.50
     4        2.3283           61.0782     27139170.13
     5        2.0851           25.5681      6720712.50
     6        2.0643           47.8234      8791935.88
     7        1.8004           30.2117      5521957.88
     8        1.7506           25.8978      6711253.25
     9        1.6832           40.5080     21599375.88
    10        1.6600           40.5089      8694509.00
    11        1.6425           31.8734      7176851.88
    12        1.5219           16.9372      6631088.75
    13        1.5190           26.8997      3959573.38
    14        1.4185           26.9008      8608135.38
    15        1.3607           16.9370      4931550.75
    16        1.3550           30.2109      1697504.38
    17        1.3520           22.9056     62442044.25
    18        1.3446           31.8734      5077007.88
    19        1.3549           37.3310      5330756.25
    20        1.2672           37.3310      2833150.00
    21        1.1494           25.8984      3635646.25
    22        1.0970           27.5569     61816165.38
    23        1.0383           18.2652     23665990.63
    24        1.0281           15.9408     11010796.00
    25        0.9593           25.5669      3610741.75
    26        0.9509           38.3468      6783921.00
    27        0.9089           27.8936     66030490.00
    28        0.7597           28.2271     61675118.13
    29        0.6952           53.9350      8340640.50
    30        0.6905           15.9422      8619853.88
